,Model,Days,Secondhand Price(NT$),Original Price(NT$),Mileage(km)
110,Q7 45 TDI quattro,365,2960000,None,2001
111,A6 Sedan 35 TFSI,457,1780000,2540000,2450
112,A6 Sedan 35 TDI,184,1820000,2490000,3290
113,A5 Coup_ 40 TFSI,640,1700000,None,2950
114,A5 Coup_ 40 TFSI Sport,275,1880000,2270000,4260
115,A5 Coup_ 40 TFSI Sport + Premium package,275,1950000,None,3850
116,A4 Sedan 40 TFSI,457,1550000,None,3560
117,A4 Sedan 40 TFSI Sport + Premium package,275,1730000,None,2560
118,A4 Sedan 40 TFSI Sport + Premium package,184,1730000,None,4120
119,A4 Sedan 40 TFSI,610,1420000,None,6931
120,A4 Sedan 45 TFSI quattro,275,2100000,None,3420
121,A4 Sedan 45 TFSI quattro,275,2100000,None,2650
122,A4 Sedan 40 TFSI,610,1430000,None,9300
123,A4 Sedan 40 TFSI,914,1350000,None,11705
124,A3 Sedan 40 TFSI,549,1200000,None,6375
125,A1 Sportback 25 TFSI,153,1000000,1170000,3210
